Código_departamento,Código_municipio,Precio_promedio_por_litro,año,mes,dia
47,47258,1824.8230985037403,2025,1,1
47,47460,2103.841815407073,2025,1,1
47,47545,1471.6514072566968,2025,1,1
47,47551,1847.74195221914,2025,1,1
47,47555,1479.3636196431858,2025,1,1
47,47660,1856.7192894131188,2025,1,1
50,50006,1700.509365757476,2025,1,1
50,50150,1592.0085368745558,2025,1,1
50,50226,1770.3977562468135,2025,1,1
50,50313,1781.960081883316,2025,1,1
50,50318,1694.5771578029644,2025,1,1
50,50606,1854.3288468534015,2025,1,1
50,50689,1594.3803498325267,2025,1,1
50,50001,1961.125606796116,2025,1,1
52,52110,1988.0285660590123,2025,1,1
52,52224,1693.6952607179803,2025,1,1
52,52227,1828.110324982572,2025,1,1
52,52317,1834.044795476054,2025,1,1
52,52352,1370.1828051779337,2025,1,1
