Mes_y_año,Código_departamento,Código_municipio,Precio_promedio_por_litro
2024-02-01,15,15759,2014.6555709662505
2024-02-01,15,15763,2157.341475267818
2024-02-01,15,15806,1995.0683249977176
2024-02-01,15,15814,2031.9139263524776
2024-02-01,15,15001,1904.897793968832
2024-02-01,15,15861,1848.954372623575
2024-02-01,17,17001,2117.3053575981253
2024-02-01,17,17653,1806.6241256791411
2024-02-01,17,17873,2086.5993766499673
2024-02-01,18,18247,1829.0104486785492
2024-02-01,18,18256,1829.8107255520506
2024-02-01,18,18001,1796.5322388769926
2024-02-01,18,18410,1829.1187739463603
2024-02-01,18,18592,1781.640625
2024-02-01,85,85010,1261.347840947932
2024-02-01,85,85162,1741.294784484582
2024-02-01,85,85410,1716.7476015634252
2024-02-01,85,85440,1526.4482120451692
2024-02-01,85,85001,1693.0768728365233
2024-02-01,19,19532,1894.9245283018859
2024-02-01,19,19001,2069.0741268920206
2024-02-01,19,19743,1911.614758545849
2024-02-01,19,19807,1967.6641221374045
2024-02-01,20,20011,1866.2951167728233
2024-02-01,20,20013,2068.4951767495377
2024-02-01,20,20060,1954.823104272309
2024-02-01,20,20175,1952.5708769434
2024-02-01,20,20178,1968.9213750744257
2024-02-01,20,20238,1986.801764749869
2024-02-01,20,20383,1857.2359353464478
2024-02-01,20,20621,2297.683768376838
2024-02-01,20,20710,1876.6482581230853
2024-02-01,20,20750,2020.610096004955
2024-02-01,20,20770,1913.4880686055178
2024-02-01,20,20001,2508.58663260962
2024-02-01,23,23068,1897.090254999471
2024-02-01,23,23079,1762.2093429229803
2024-02-01,23,23162,2271.3391341256365
2024-02-01,23,23182,2009.7332966730821
2024-02-01,23,23189,2146.557474415205
2024-02-01,23,23417,1962.9582595328002
2024-02-01,23,23466,1793.6854474611914
2024-02-01,23,23001,2216.559330318955
2024-02-01,23,23555,2234.7743865577477
2024-02-01,23,23570,1856.877704639224
2024-02-01,23,23660,2078.7012908308593
2024-02-01,23,23686,1970.2119366626064
2024-02-01,25,25126,2220.4078457830065
2024-02-01,25,25200,1948.1272229123774
2024-02-01,25,25214,2202.2319032148966
2024-02-01,25,25260,2137.662157438662
2024-02-01,25,25269,2182.977322502841
2024-02-01,25,25286,2081.4138250434253
2024-02-01,25,25288,2005.456004279219
2024-02-01,25,25295,1997.2731627627031
2024-02-01,25,25317,2018.008959207015
2024-02-01,25,25322,2048.219941444726
2024-02-01,25,25377,2109.867109303346
2024-02-01,25,25407,2028.3739940837813
2024-02-01,25,25430,2071.178883629696
2024-02-01,25,25473,2245.916080082237
2024-02-01,25,25486,2116.302250234585
2024-02-01,25,25736,2183.294625928468
2024-02-01,25,25740,2001.5328591545504
2024-02-01,25,25745,1962.111482731194
2024-02-01,25,25758,2156.0587647300295
2024-02-01,25,25769,2177.3371539054497
2024-02-01,25,25779,1947.8502551527602
2024-02-01,25,25785,2186.5309010850765
2024-02-01,25,25799,2085.5884801224706
2024-02-01,25,25817,2209.493721725184
2024-02-01,25,25843,2221.814259703934
2024-02-01,25,25873,2000.4402302742974
2024-02-01,25,25899,2209.2890105234237
2024-02-01,41,41016,2020.8476830051375
2024-02-01,41,41396,1846.5306708806204
2024-02-01,41,41001,1917.8504350552644
2024-02-01,41,41524,1914.5830517423437
2024-02-01,41,41551,1996.8800369523142
2024-02-01,44,44650,2228.925493618414
2024-02-01,47,47058,1889.2781414215913
2024-02-01,47,47170,1929.2368896925864
2024-02-01,47,47258,2215.0292414024684
2024-02-01,47,47460,1928.8641833810893
2024-02-01,47,47545,2058.135250772522
2024-02-01,47,47551,2214.616364355044
2024-02-01,47,47555,2079.529354849856
2024-02-01,47,47660,1950.3356059404894
2024-02-01,50,50006,1917.8769173213614
2024-02-01,50,50150,1809.1017606684572
2024-02-01,50,50226,1909.4221426745075
